Scientific Name,Local Name,Aquarium Demand met by,Occurrence,Other Name
Abalistes stellatus,,,native,Starry triggerfish
Abantennarius coccineus,Freckled anglerfish,based mainly on capture,native,Scarlet frogfish
Abantennarius nummifer,,,native,Spotfin frogfish
Ablabys taenianotus,,based mainly on capture,native,Cockatoo waspfish
Abudefduf saxatilis,,based mainly on capture,misidentification,Sergeant-major
Abudefduf sordidus,,based mainly on capture,native,Blackspot sergeant
Abudefduf vaigiensis,Indo-pacific sergeant,based mainly on capture,native,Indo-Pacific sergeant
Acanthurus bariene,,based mainly on capture,native,Black-spot surgeonfish
Acanthurus blochii,,based mainly on capture,native,Ringtail surgeonfish
Acanthurus dussumieri,,based mainly on capture,native,Eyestripe surgeonfish
Acanthurus fowleri,,,native,Fowler's surgeonfish
Acanthurus guttatus,Whitespotted surgeonfish,based mainly on capture,native,Whitespotted surgeonfish
Acanthurus lineatus,,based mainly on capture,native,Lined surgeonfish
Acanthurus maculiceps,,based mainly on capture,native,White-freckled surgeonfish
Acanthurus mata,Elongate surgeonfish,based mainly on capture,native,Elongate surgeonfish
Acanthurus nigricans,,based mainly on capture,native,Whitecheek surgeonfish
Acanthurus nigricauda,Blackstreak surgeonfish,based mainly on capture,native,Epaulette surgeonfish
Acanthurus nigrofuscus,Brown surgeonfish,based mainly on capture,native,Brown surgeonfish
Acanthurus nigroris,Bluelined surgeonfish,based mainly on capture,native,Bluelined surgeonfish
Acanthurus olivaceus,Orangeband surgeonfish,based mainly on capture,native,Orangespot surgeonfish
Acanthurus pyroferus,Mimic surgeonfish,based mainly on capture,native,Chocolate surgeonfish
Acanthurus thompsoni,,based mainly on capture,native,Thompson's surgeonfish
Acanthurus triostegus,Convict surgeonfish,based mainly on capture,native,Convict surgeonfish
Acanthurus xanthopterus,Yellowfin surgeonfish,based mainly on capture,native,Yellowfin surgeonfish
Aeoliscus strigatus,,based mainly on capture,native,Razorfish
Alectis ciliaris,,based mainly on capture,native,African pompano
Aluterus scriptus,,based mainly on capture,native,Scribbled leatherjacket filefish
Ambassis macleayi,,,native,Macleay's glass perchlet
Amblycirrhitus bimacula,Twinspot hawkfish,based mainly on capture,native,Twospot hawkfish
Amblyeleotris fasciata,,based mainly on capture,native,Red-banded prawn-goby
Amblyeleotris fontanesii,,based mainly on capture,native,Giant prawn-goby
Amblyeleotris guttata,,based mainly on capture,native,Spotted prawn-goby
Amblyeleotris periophthalma,,based mainly on capture,native,Periophthalma prawn-goby
Amblyeleotris randalli,,based mainly on capture,native,Randall's prawn-goby
Amblyeleotris steinitzi,Steinitz' shrimp goby,based mainly on capture,native,Steinitz' prawn-goby
Amblyeleotris wheeleri,,based mainly on capture,native,Gorgeous prawn-goby
Amblyglyphidodon aureus,Golden damsel,based mainly on capture,native,Golden damselfish
Amblyglyphidodon curacao,Staghorn damsel,based mainly on capture,native,Staghorn damselfish
Amblyglyphidodon leucogaster,,based mainly on capture,native,Yellowbelly damselfish
Amblygobius albimaculatus,,based mainly on capture,native,Butterfly goby
Amblygobius decussatus,Orange-striped goby,based mainly on capture,native,Orange-striped goby
Amblygobius nocturnus,,based mainly on capture,native,Nocturn goby
Amblygobius phalaena,Banded goby,based mainly on capture,native,Whitebarred goby
Amblygobius sphynx,Sphinx goby,based mainly on capture,native,Sphinx goby
Amniataba percoides,Barred grunter,,endemic,Barred grunter
Amphichaetodon howensis,,based mainly on capture,native,Lord Howe Island butterflyfish
